"filename", "language", "HTML", "Handlebars", "JavaScript", "SCSS", "Markdown", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\Form.js", "JavaScript", 0, 0, 190, 0, 0, 0, 0, 0, 2, 19, 211
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\Modal.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\Spin.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\popup.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 1, 8, 52
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\pages\alta.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 8, 122
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\pages\inicio.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 2, 3, 33
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\pages\login.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\pages\productos.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\paramsPage.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\package-lock.json", "JSON", 0, 0, 0, 0, 0, 5432, 0, 0, 0, 1, 5433
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\package.json", "JSON", 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\abstracts\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\abstracts\_functions.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 20, 4, 36
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\abstracts\_mixins.scss", "SCSS", 0, 0, 0, 29, 0, 0, 0, 0, 10, 3, 42
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\abstracts\_variables.scss", "SCSS", 0, 0, 0, 14, 0, 0, 0, 0, 26, 32, 72
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
